c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
400,Customer#000000400,"7YXst,TmbuBEhDTEM5O",14,24-522-746-1247,-98.46,BUILDING,gle. unusual pinto beans nag care
401,Customer#000000401,RgqfilVYUchWwMaM6JYgFgOm0D9tK,19,29-667-766-5291,4146.43,BUILDING,r theodolites. unusual ideas boost furiously f
402,Customer#000000402,"TovWB,EZKg356KCFGqA0NzZ1yADEjQd",6,16-950-729-1638,2106.67,AUTOMOBILE, after the ironic deposits. regular deposits engage boldly furiously even platelets. instruction
403,Customer#000000403,S0p52NKLGlgzmenHM54,14,24-753-433-1769,6693.36,HOUSEHOLD,packages sleep fluffily. foxes inside the blit
404,Customer#000000404,"ZC Kwgh,VHdweYRZEJG8UIhEjl,HG",22,32-840-785-1776,7408.73,BUILDING,"anent platelets. unusual epitaphs sleep furiously; bold, regu"
405,Customer#000000405,"Foadj, hyAIHaRbJQxOYQ1 WBaltNzP1yPnSN",10,20-509-301-7901,7519.14,MACHINERY,ely unusual accounts sleep fluffily quickly unusual packages. blithely even courts haggle? slyly unusual deposits sl
406,Customer#000000406,IZLckS4zi ZhiU2JRHKhse,9,19-426-693-4043,4286.94,FURNITURE,usual deposits around the decoys nag blithely alongside of the expr
407,Customer#000000407,PLobRQmXjDj,1,11-975-454-8499,9537.08,MACHINERY,"egular, even theodolites-- final ideas sleep furiously. "
408,Customer#000000408,8pHPXF0XQMRWhybTXXjnX5nGT97sY2Slp,10,20-177-807-5661,6825.37,BUILDING,"ains. special, silent asymptotes against the deposits cajole slyly about the even, special a"
409,Customer#000000409,Fy eIowaud tZoH0P6Wi8m4VvlgfbaZibjdnR W,11,21-466-412-4731,3969.86,FURNITURE,furiously. permanently even patterns sleep blithely blithe packages. fluffily even instructions 
410,Customer#000000410,E2QGYyraR0L26IfMJZd,7,17-576-345-5940,4349.27,BUILDING,"s wake carefully according to the ironic, ironic ideas. r"
411,Customer#000000411,"6XM0l4VuV, OzantyV0m9uLcaqyWcsIj9C72ul",18,28-483-924-1955,1209.32,HOUSEHOLD,"against the express asymptotes? even packages sleep. even platelets maintain among the regular, unusual e"
412,Customer#000000412,WidY21a JniY2p5lgInPfBsIYKGZLEDsitYta,22,32-940-318-3191,6044.02,BUILDING,efully unusual dependencies use around the regularly ironic ideas. instructions must have to play carefully
413,Customer#000000413,"1WhEVe, xJiopTOq9Ugv",6,16-158-285-7336,5817.90,FURNITURE,"l, regular accounts sleep. carefully pending foxes thrash alongside of the ca"
414,Customer#000000414,JWRn4jUZqlQrWVwQZ9ej,19,29-552-380-2475,527.78,AUTOMOBILE,about the dependencies. quickly final requests boost. slyly busy dolphins boost. care
415,Customer#000000415,YXWHoaI6P0LuX,23,33-346-876-2972,2317.93,FURNITURE,"ual, ironic packages wake express, en"
416,Customer#000000416,METjTHUz2JhL3yyd7,12,22-651-146-4780,4365.28,MACHINERY,ccounts detect after the furiously ironic ideas. fu
417,Customer#000000417,4Xfe8CiDWlLHKhuGNj56G6wgsu3,11,21-794-364-5100,6187.73,BUILDING,y unusual instructions across the furiously final deposits are within th
418,Customer#000000418,"1M,ASZN crAK5j3k h9a0ln 9D6cF",5,15-826-508-1218,1211.39,FURNITURE,accounts haggle quickly doggedly special packages; idly pending ideas a
419,Customer#000000419,LwP1diW65prCVtc2Y6c4Pw5R7N7H,16,26-338-447-2399,7786.69,BUILDING,nently according to the special packages. carefully ironic depths haggle
420,Customer#000000420,"k5,2pTYe4vSXrRg",20,30-776-366-5869,1999.35,BUILDING,er the slyly ironic requests. quickly ironic requests will have to x-ray blithely final excuses. blithely reg
421,Customer#000000421,JyXE6GG1qMShSKEu,13,23-918-228-2560,7073.17,FURNITURE,ly express deposits sleep slyly. express instruct
422,Customer#000000422,"rtds1qwEinDWYhyIbRusRgXBDxGJraP,C,S zDwA",9,19-299-247-2444,-272.14,HOUSEHOLD, are carefully. slyly regular requests hag
423,Customer#000000423,3YprmQcKXRlBlf80E,13,23-201-501-7824,95.79,BUILDING," ironic packages are. final, quick accounts haggle daringly theodolites. dolphins are about t"
424,Customer#000000424,JWOLXHE9mRjh 0Oy0Z,19,29-891-311-6778,1866.42,HOUSEHOLD,"carefully. ironic, ironic instructions nag across the "
425,Customer#000000425,GBXQoapgZZBl2,16,26-756-407-4828,5824.88,HOUSEHOLD,"cial deposits use fluffily above the unusual, unusual "
426,Customer#000000426,lHlHeXsHPtKd 5U4Fm,19,29-768-330-6311,7818.25,HOUSEHOLD,"ously regular packages sleep blithely packages. express, pending "
427,Customer#000000427,gjs3QUZ6YqlALPAIZt22BvYem4ARRN5E2,2,12-124-309-3821,4376.80,MACHINERY,ously special deposits wake quickly expr
428,Customer#000000428,8o5HFtP3Tu1G4OjeXXf9OmHcXTEqkEc9,21,31-587-557-8211,1952.36,BUILDING,ular escapades. theodolites wake above the express pinto beans. slyly stealthy dependencies w
429,Customer#000000429,H1py21faqlyWIQ8RKHLiHSaSNtKE7,15,25-989-936-1954,9247.21,FURNITURE,about the regular theodolites. slyly ironic dependencies along the unusual t
430,Customer#000000430, YtLbnkkcAkLKG59zV9zVrAJ09x5E9,3,13-406-611-4228,7905.17,BUILDING,"deposits. fluffily even foxes sleep fluffily. regular, special theodolites integrate slyly furiously e"
431,Customer#000000431,adL83Q6hGK7FppbE,6,16-326-904-6643,2273.50,HOUSEHOLD,ccording to the pending ideas. requests haggle carefully furiously 
432,Customer#000000432,mnoCDJArKY0liRNkra7es1d3WdpRg6,23,33-307-912-9016,5715.64,BUILDING, dinos integrate carefully quickly regular d
433,Customer#000000433,"U3lxmXrMxaa,v",20,30-659-445-3595,8746.23,FURNITURE,-- regular packages sleep blithely among the fu
434,Customer#000000434,VfkqLZJwWeqVehJMwdzK,3,13-325-443-1474,2940.46,MACHINERY," final pinto beans sleep according to the regular, even requests. requests alo"
435,Customer#000000435,"OIvHdb8PXvg2ftr5Lonq8CV O,iXrz",2,12-741-309-6377,6217.46,MACHINERY,oxes. special braids according to the bold accounts sleep special requests. carefully pend
436,Customer#000000436,"Xnodsr7SWYP527OR68RWH9,a3k89eVDOC,nV1",19,29-927-687-6390,5896.87,FURNITURE,ily regular packages haggle enticingly carefully regular deposit
437,Customer#000000437,"0ceZuyjN,AZmFOhCrTTlZetGc6p8aD29SxXIGD",4,14-364-492-8498,7760.52,AUTOMOBILE,ular excuses. regular courts cajole. blith
438,Customer#000000438,NACRqSCQmYpqTrT1f,23,33-394-388-4375,2131.13,MACHINERY,. even foxes nag blithely. slyly final instructions sleep s
439,Customer#000000439,"YNMpPGsYztawSteM,tq5hGmWEojY,xo9HWyi5j6E",14,24-873-368-6801,-61.29,BUILDING,equests. slyly special instructions along the furiously spec
440,Customer#000000440,wWLgeLIpxkF50DfETdKhGZnC65vdae6SsrrW09,3,13-244-480-5751,1809.04,MACHINERY,"d final excuses. quickly unusual excuses sleep closely special, final depos"
441,Customer#000000441,LH2BOquUebTkwnQV,23,33-438-355-3491,9451.84,HOUSEHOLD,endencies. furiously final accounts around the instructions hinder furiously
442,Customer#000000442,AwKQtMhlfcZOHser,1,11-240-523-8711,4157.00,FURNITURE, carefully pending packages wake slyly across the requests. sometimes final depo
443,Customer#000000443,7Ntdk2Uk8sWQdBedVdY,3,13-241-131-1632,3726.22,FURNITURE,nts nag across the blithely regular foxe
444,Customer#000000444,oSFWkTIRQ1Ug9PACUQHwaSJZvI ,1,11-402-300-1949,1505.27,HOUSEHOLD,"beans. ironic deposits after the special, bold ideas affix toward the accounts. even requests believe"
445,Customer#000000445,f3Z6q0h6hsjkt4esBYJPgKVNoC5fvzTgdOvnzb,20,30-849-846-6070,8018.81,FURNITURE,pecial accounts. foxes wake packages. carefully special requests haggle furio
446,Customer#000000446,"Fhchv3LOJrJsfoxwT,0AKFh8Ek",24,34-321-168-5681,9225.60,FURNITURE,"ously ironic warhorses along the permanent, slow requests sleep furiously instructions: fluffily final packages abou"
447,Customer#000000447,K51pscSbII,3,13-438-344-7007,7665.98,HOUSEHOLD,"arefully bold packages. silent, final asymptotes nod across the blithel"
448,Customer#000000448,"qjWwyEnBQPH,dKCldh4xXc63DJNLh",24,34-985-422-6009,8117.27,BUILDING,"cingly. accounts cajole furiously pending, even platelets. furiously fluffy packages sleep. asympt"
449,Customer#000000449,oI63QtBSm2Phlz3ZQTDOJmBCR5Vp9pXIANPSj4f,4,14-893-381-6454,3001.94,MACHINERY,its. blithely special ideas affix alongside of the sometimes 
450,Customer#000000450,h5Bx2RWNn4TF115qyytgVZWoYBN8,9,19-782-397-9006,5544.42,HOUSEHOLD,into beans boost fluffily-- ruthlessly unusual asymptotes sleep: courts according to 
451,Customer#000000451,"2hg7o,oG0p0,L21suNdY",20,30-939-275-3248,2110.59,HOUSEHOLD,ously over the instructions. blithely regular excuses
452,Customer#000000452,17iTlO7OrKp36eI0SAn,6,16-335-974-9174,6633.70,BUILDING,e furiously carefully brave Tiresias.
453,Customer#000000453,"c1WEE5fT90nF,eyg4eLf4BZY,GC,0IzEc",8,18-209-381-8571,5678.18,HOUSEHOLD,"out the silent requests. special, even escapades boost ironic theodolit"
454,Customer#000000454,ORCaoFXCDd lFiCzM5HlPanw,7,17-818-915-9400,6134.40,AUTOMOBILE,"accounts are furiously pending ideas. even, even accounts sleep after the furiously careful instructio"
455,Customer#000000455, zzxzPbh013aSwId,6,16-863-225-9454,6860.34,BUILDING," requests. express, silent Tiresias nag furiously. regular accounts nag. carefully e"
456,Customer#000000456,jK68xyFKxniV,0,10-784-971-7777,8815.78,FURNITURE,equests detect quickly slyly regular warthogs. boldly
457,Customer#000000457,"NQq4Ms5A ,vZT6vIZxsaaPrvaC3u15o48X4L",20,30-543-684-2857,5867.61,FURNITURE, instructions wake carefully after the furiously express deposits. slyly silent ideas boost. bl
458,Customer#000000458,JigviYj KdGnR,4,14-651-706-4016,-38.42,BUILDING,"usual, silent requests against the pack"
459,Customer#000000459,"pGkjXXIgrRxqj3M3TrvqbishQ,OEqSoqmqTF",6,16-927-662-8584,1207.97,MACHINERY,e furiously slyly express tithes. carefully stealthy ideas should have to detect; special acc
460,Customer#000000460,lPuVjEv0OyGiT,11,21-643-955-6555,5222.83,FURNITURE,"al packages. even platelets boost slyly final deposits. express,"
461,Customer#000000461,Wwudft8q8sHP 6 To9LV,21,31-533-226-4307,9177.63,AUTOMOBILE,xpress deposits across the quickly ironic foxes doubt slyly about the bold theodo
462,Customer#000000462,f8AzoxdmGCwBTlD O93bVc64E,21,31-157-561-4106,4522.60,HOUSEHOLD,"gular requests sleep furiously regular, ironic foxes. slyly unusual pinto beans cajole. close"
463,Customer#000000463,g5TedU7GEYe8CWaYFvwHvkat9iH919M0e,8,18-167-214-5805,-654.50,HOUSEHOLD,he fluffily unusual pinto beans. pending deposits haggle. slyl
464,Customer#000000464,HqqfbSKmyX1kR3yvo3HwYSjHgqmb,9,19-269-971-9738,8730.85,AUTOMOBILE,"s nag. brave, regular accounts cajole quickly special asymptotes. warhorses affi"
465,Customer#000000465,LDKD7eDTQsIKaFaiDQG72yC,2,12-137-838-1346,8432.74,FURNITURE, even accounts across the fluffy instructions cajole furiously express deposits. final somas sleep q
466,Customer#000000466,2iZOS11QDMLmxVonaudLW0PGx3bvDTkThigU,12,22-280-738-3240,3168.41,MACHINERY,accounts around the slyly even courts grow about the regular accounts. regular
467,Customer#000000467,"REv9GK,DnaV Ue6",11,21-449-581-5158,9398.51,MACHINERY,instructions? furiously silent instructi
468,Customer#000000468,jOPIJryc54PDzvLum,10,20-489-960-5023,9834.19,FURNITURE,furiously ironic accounts. requests haggle slyly final requests. regular patterns
469,Customer#000000469,i4c6ffQVayz,12,22-406-988-6460,6343.64,BUILDING,"fter the even dugouts. bold, bold packag"
470,Customer#000000470,xRrK49xbW4AcHdhaKthyIPdooKaem,20,30-507-458-4433,3597.53,HOUSEHOLD,blithely thin excuses. fluffily pending packages sleep carefully
471,Customer#000000471,"zk ,nz grR,iKsLN1 8bCbiIQY",4,14-574-118-1005,5716.90,FURNITURE,ously bold accounts above the foxes 
472,Customer#000000472,K4KLD E7qmduReACST2vtyk KgfAdGIebJW,12,22-940-478-1933,7929.90,MACHINERY,ves. furiously unusual packages haggle slyly above t
473,Customer#000000473,tcX4RC2HrbxFzakN,9,19-209-647-5704,-202.22,HOUSEHOLD,"s dinos cajole blithely sly, unusual deposits. even packages us"
474,Customer#000000474,"Fwmgv1Us7,6S2PYu7krJyRR,64",21,31-247-536-6143,9165.47,MACHINERY, permanently except the special theodolites. furiously
475,Customer#000000475,ihePHVEtf6teFP6FKUXJeylwWC4fSDB,14,24-485-422-9361,9043.55,BUILDING, are furiously ironic ideas. blithely special requests sleep q
476,Customer#000000476,VS STkopPaH52Q5MMzSELgz,2,12-996-628-9902,5973.10,BUILDING, special instructions boost slyly. fluffily silent accounts sleep carefully about the furiously ironic accounts. qui
477,Customer#000000477,WQ4V4kBJdKmNi8ZbNBYOjh3kSn9S,23,33-845-877-6997,1836.61,AUTOMOBILE,y regular packages use. furiously final deposits cajole fl
478,Customer#000000478,PFtAWWSniG43yWAgtjFPN0DrhyMCDIm,1,11-655-291-2694,-210.40,BUILDING,even asymptotes haggle carefully slyl
479,Customer#000000479,aNiIkTdPv2zQE9MavJ9,18,28-336-406-1631,3653.64,AUTOMOBILE,cuses. quickly even ideas wake furiousl
480,Customer#000000480,4ta8b voMcs4bnXUgXrE31WJDpehcVC,7,17-231-147-5851,2750.71,FURNITURE,the asymptotes. carefully even accounts breach blithely. slyly unusual deposits am
481,Customer#000000481,"DWuQTiY,dAkeSm,uGj0dhMZKbt,WcAjD",21,31-363-392-6461,7157.21,FURNITURE,accounts above the theodolites cajole slyly ironic packages. quickly
482,Customer#000000482,"YSR9KeozE57gI9zHE aaFR,uushIiude,",13,23-732-448-1610,4333.37,HOUSEHOLD,"lly above the final, final packages. furiously regular dolphins nag. carefully regular deposits cajole carefully ag"
483,Customer#000000483,3wZa5sZhz5sRz5PexL9wODB y0L uVZ,11,21-799-189-1135,8877.20,MACHINERY,deas. platelets are according t
484,Customer#000000484,JzEsF7s A9f9k4Epm66HHpzI,20,30-777-953-8902,4245.00,BUILDING,"nal, ironic gifts are against the blithely final foxes-- quickly quick ideas sleep fluffily."
485,Customer#000000485,4MlPw4oa0h,19,29-434-961-1623,8695.45,MACHINERY,blithely silent requests eat slyly with the blithely
486,Customer#000000486,ZO33QVe8uRpk6,21,31-787-534-8723,7487.40,AUTOMOBILE,accounts wake slyly along the blithely ironic dependencies-- even deposits boost fur
487,Customer#000000487,"D7O0FSNqLSd,AccfbWb,5l7xk9",2,12-111-401-4259,9749.37,AUTOMOBILE, requests. furiously pending dolphins accordi
488,Customer#000000488,QpOeHmb7tz97Q7NkOCc,3,13-513-778-1881,-275.58,AUTOMOBILE,t. bold theodolites are furiously according to th
489,Customer#000000489,liN4Wj5KMA5ep3Del1kj9SGEJw,4,14-916-241-6195,8255.83,AUTOMOBILE,rges. regular ideas affix in place of the express ideas. c
490,Customer#000000490,sUULkYltPRXUO5a jR1X6eds91tLjehimp,22,32-268-147-7824,-213.85,FURNITURE,"c foxes mold against the even deposits-- regular, final packages snooze carefully around the carefully u"
491,Customer#000000491,"AXsbcyMDujG,CAiEu4FmufbZ1k",0,10-856-259-7548,785.37,AUTOMOBILE,"ly final, even hockey players. carefully final ideas w"
492,Customer#000000492,iMuqKffx6jDmF2lRgu0JiOqbZQZkGD3C2jagtu,8,18-686-244-1077,8635.18,AUTOMOBILE,packages. slyly regular accounts cajole against the pearls; furiously regular asymptotes are blithely pen
493,Customer#000000493,lrN9pIuEppyKZrua8QU5w9OJloy6VP,16,26-514-558-7246,6582.04,MACHINERY,es wake carefully bold courts. regular instructions nag. even pinto beans nag slyly fluffily fin
494,Customer#000000494,lgK7HklFa o14OGNy8AJ2oCBpKEoJGEi,10,20-330-453-6579,6295.47,FURNITURE,oxes. express accounts cajole slyly about the special instru
495,Customer#000000495,"bJlPmxUgPajvL1zsZG y,MqogjXZwXJte",7,17-400-405-6060,7997.81,BUILDING,"e carefully slow requests-- ironic, bold ideas sleep slyly aft"
496,Customer#000000496,3SC2fGjEMU2WLmsH7x,12,22-173-644-7922,8174.82,MACHINERY,ic deposits. blithely unusual requests are across the enticingly express accounts. pinto beans wak
497,Customer#000000497,0sA994qu6PDZhrgovneHmNMVL4nvDr,23,33-937-724-3506,2191.59,BUILDING, the carefully final asymptote
498,Customer#000000498,",4DHQSITgqpXju8Wtq7g1iDSaVqjOm7 ,LV8B",19,29-210-810-1479,3945.64,BUILDING,y above the blithely final foxes. blithely special ideas sleep fluffily. fluffily even excuses haggle acco
499,Customer#000000499,FZJcX63a5Pw7PhRSjv,14,24-387-817-9149,4293.76,HOUSEHOLD,ithely quickly regular sheaves. fluffily final waters affix carefully silent pinto beans. theod
500,Customer#000000500,MtTAuWLjfJPPlfRYNxHR,4,14-194-736-4233,3300.82,AUTOMOBILE,ntegrate furiously carefully even accounts. blithely pending sentiments nag f
501,Customer#000000501,GsG2qWoUvQ1v3,13,23-867-672-1331,1909.35,FURNITURE," deposits are blithely. ironic, ironic somas use. deposits doubt during the s"
502,Customer#000000502,ECxqlVGMNDlz4mJb2t5B9DDby,11,21-405-590-9919,1378.67,HOUSEHOLD,s boost furiously. slyly regular theodolites haggle quickly along the q
503,Customer#000000503,Uuof2lfoBl70yChqibi iPfixgCGSZKriugsQMV1,20,30-441-755-3094,3213.66,MACHINERY,leep. slyly quick accounts are. a
504,Customer#000000504,"Zkx9uXBcfmb46TLicQ0ro2IgSjxez3afcVns,",10,20-916-264-7594,0.51,FURNITURE,ly final excuses against the sly requests haggle 
505,Customer#000000505,"fq6GvrtmwKVZ9FofCEzBfz,4s3Q0dz",2,12-530-647-8313,6557.51,HOUSEHOLD,he ironic accounts. boldly regular accounts wake carefully slyly ruthless platelets. fluffily final instruct
506,Customer#000000506,O7rGlRhvvZq,13,23-895-781-8227,1179.85,HOUSEHOLD,ronic packages. blithely special foxes haggle quickly even tithes. braids across the fluffily spe
507,Customer#000000507,"bFq,lPrUM0AUTxKn8sA",14,24-158-185-4455,5727.00,MACHINERY,y after the slyly thin accounts. blithely regular requests are quickly. unusual pinto beans cajole even
508,Customer#000000508,BR5ARsD7 6xu,18,28-344-250-3166,1685.90,BUILDING,"en courts. carefully final packages sleep against the slyly regular pinto beans. final, final accounts detect qu"
509,Customer#000000509,"gjf9,jgahj6lZr,7wpdbgA,",4,14-115-338-1002,7885.50,FURNITURE,"lar requests sleep slyly express ideas. bold, final de"
510,Customer#000000510,"AULXWyuydior2pxr3BcRXpgtAIGe,AF7VD,aENRf",5,15-846-260-5139,1572.48,HOUSEHOLD,"ies haggle. ironic, bold pinto "
511,Customer#000000511,GaoRgM4r4TUi2yhIqK81LxdsuI2r 2HXyUFPuL8J,13,23-247-728-9743,4571.31,FURNITURE,"s are furiously ironic requests. ironic, final deposits haggle quickly i"
512,Customer#000000512,NVrGtFwHLU6HQTyezfrXOLIg,2,12-144-416-6035,3937.58,BUILDING," final foxes. final, special ideas are. carefully final ins"
513,Customer#000000513," P45UmibQzVo,BxBKDg6j",1,11-861-303-6887,955.37,HOUSEHOLD,"aggle blithely express, regular requests? ironic, unusual dolphins boost. slyly final ideas h"
514,Customer#000000514,0BnUdwBXykYaAoASAw9qt7UdSg,23,33-194-775-6756,5840.97,BUILDING,cording to the requests. carefully express pinto beans must wake slyly across the platelets. furiously unusu
515,Customer#000000515,D3ujyL3bVB427J,15,25-204-592-4731,3225.07,BUILDING,"furiously. even excuses are. furiously ironic pinto beans wake. special, regular excuses"
516,Customer#000000516,nhvcaf7aDlwwNS s2TLRJVbctV1FdGj2uofsJKSy,6,16-947-309-2690,4768.96,MACHINERY,ic platelets according to the ironi
517,Customer#000000517,F8CVMjSlWmVgKFUYD4y6TWwLtbHcpKXt,10,20-475-741-4234,3959.71,FURNITURE,nst the carefully even theodolites haggle furiously acco
518,Customer#000000518,nzo yXOJG0Yi9iswej7xsU5a4ALJ,17,27-651-256-7682,9871.66,BUILDING,s nag quickly asymptotes. carefully ironic accounts
519,Customer#000000519,2UGMU3RhYB3xbpBUHm,5,15-452-860-5592,9074.45,BUILDING,blithely regular ideas. always express deposits alongside of the fluffily special instructions cajole blithely 
520,Customer#000000520,"uQckOS5MRYqIWlUN,kOJN6YeEnc3hm0tAtn8rzmq",3,13-612-111-7765,8315.09,HOUSEHOLD,", ironic instructions. furiously express deposits mold fluffily behind the furiously pending d"
521,Customer#000000521,f6mqmrZ1xwaCLd2XVXoGAWqBAHZkFcN,2,12-539-480-8897,5830.69,MACHINERY,rts boost quickly close requests! unusual theodolit
522,Customer#000000522,LbsWlyqkBHxQ6W2qRh0Ll8DfpARzOmDwkcZhG7u,12,22-771-454-9561,6358.46,BUILDING,ccounts under the regular pinto beans wake slyly according to the ironic packag
523,Customer#000000523," jMc8Lz8DhJUBv29 ,wVyKIkJLDuT1q",10,20-638-320-5977,-275.73,BUILDING,raids integrate silent realms. fluffily express packag
524,Customer#000000524,QBzcTUuIqEIvcuAjKqzsaxW2,9,19-844-888-9800,5706.19,HOUSEHOLD,ickly express deposits cajole slyly accounts. even packages boost express ideas. even packages after th
525,Customer#000000525,"w,BckWlJjWWQ2KTFgyjaKq4agN",19,29-365-641-8287,3931.68,AUTOMOBILE,ronically regular deposits detect agains
526,Customer#000000526,0Dq5bKJZiWiN nQM5kY1T,1,11-170-679-3115,705.93,HOUSEHOLD,ly blithe epitaphs cajole about the enticingly even instructions. slyly furious requests thrash carefully final asy
527,Customer#000000527,"LIhq6ID7yu40j3iu,QNvwwK0xyV2X96b",13,23-139-567-9286,4429.81,HOUSEHOLD,lyly even dependencies. instructions cajole ironic accounts. furiously special dependencies run doggedly. s
528,Customer#000000528,992HkW4KBS2kSktolJ9iaVMBSudzXDAoE2Q,15,25-985-381-5453,1802.50,AUTOMOBILE,y; slyly unusual foxes wake furiously ideas. slyly special requests through the slyl
529,Customer#000000529,DkgKvNorCNCtc9gchRCu8AssNG2tlcw3EYlSTo,15,25-383-240-7326,9647.58,FURNITURE,ously regular requests. fluffily even packages after the slyly final accounts unwind quickly express theod
530,Customer#000000530,"wkUqoUkU2,o9xshJ C4oqtsP HAMt8bnw93tj",13,23-614-884-1055,4990.92,BUILDING,tions. regular deposits above the dolphins detect fluffily according to the e
531,Customer#000000531,"PMiZIkLqQ1Xn55OFUk6XU,NqxjmE64,vuk",19,29-151-567-1296,5342.82,HOUSEHOLD,ing waters use slyly. idly even accounts cajole around the ev
532,Customer#000000532,vv4cXG4HK5i71vJEFytjVsHVNOGsKjT9Pl,15,25-875-978-2232,1725.68,MACHINERY,quickly against the slyly even packages! ironic 
533,Customer#000000533,F8ySkIWhA34Mn8OEYoprci FDKwAu21vUcJHx,15,25-525-957-4486,5432.77,HOUSEHOLD,"ven packages detect. bold, regular requests al"
534,Customer#000000534,YbiW1r73ASuQjly1z1caPOkFrslOZ7rX2rY,1,11-137-389-2888,6520.97,AUTOMOBILE,ronic epitaphs detect carefully above the furiously regular dep
535,Customer#000000535,1Y2rGHFB bRzmBUoOyJ6JPz,2,12-787-866-1808,2912.80,BUILDING,reful requests dazzle sheaves. pac
536,Customer#000000536,ILSb8danwAbHWxlT,12,22-521-348-9030,3342.75,MACHINERY,fluffily among the furiously even requests. unusual deposi
537,Customer#000000537,wt3wuo0WHO,10,20-337-488-6765,2614.79,FURNITURE, foxes sleep. slyly bold dependencies haggle carefully along the special pinto beans. fluffi
538,Customer#000000538,"yRH2mfbCgvAjVv3JwG8MQPuqu,b6",19,29-632-471-2852,-303.95,MACHINERY,ickly special courts cajole even accounts. deposits are
539,Customer#000000539,mCkOnyRFFBmIprfnflX OHQIvs9aMZ9,6,16-166-785-8571,4390.33,HOUSEHOLD,ully blithely unusual requests. 
540,Customer#000000540,3GQ3xYCZ3S,16,26-933-117-7482,9195.77,MACHINERY,"s. even, special packages according to the slyly bold pinto beans ca"
541,Customer#000000541,"1o IzTSvGjwWa,3Goff26cqhLHuv",0,10-362-308-9442,1295.54,FURNITURE,y regular packages. furiously regular requests run against the quickly stealth
542,Customer#000000542,"46YLLvD4X7bQz Lm,xYgwg4EeR bt2XATa",16,26-674-545-2517,3109.96,BUILDING,y ironic foxes. slyly brave pinto beans wake slyly. furi
543,Customer#000000543,iwP8g4T9kXvxAIgbRXo,17,27-972-408-3265,6089.13,AUTOMOBILE,cuses sleep about the orbits. quickly brave packages wake furiou
544,Customer#000000544,"iwTwOF0Cm0kmtuMH3gIQ,5VjZyBYX",5,15-572-651-1323,4974.68,AUTOMOBILE,"ts. ironic, final accounts according to the even accounts integrate carefully slyl"
545,Customer#000000545,rz2vUH0Dn6bOecBnvz,10,20-849-123-8918,7505.33,AUTOMOBILE,"l foxes sleep furiously across the bold packages. slyly bold instructions among the even, even deposit"
546,Customer#000000546,l1yp34XcQAmfPoRidIZJFlZhlgPE9zS,19,29-936-444-8248,3116.50,MACHINERY,al packages boost after the fluffily unusual ideas. quickly even asymptotes wake furiously spec
547,Customer#000000547,"XJr8gYN5Gm,ya,dpJ",22,32-696-724-2981,6058.08,BUILDING,"y regular pinto beans. special accounts across the regular, ironic accounts sleep across the slyly "
548,Customer#000000548,"SSDbX,7CqkhryooH2ETjBp1y,OfHt,isFeeaoEGH",4,14-787-370-8722,90.45,BUILDING,lly along the bold dependencies. quietly bold requests must hav
549,Customer#000000549,"xVxALNjfIf,imfMI6nDQL4AbVCg4QRgyCMEtIk5",24,34-825-998-8579,91.53,BUILDING, final deposits wake carefully above the furiously final packages! idly ironic 
550,Customer#000000550,BVrKgwOTbpbctN0k,17,27-938-997-6262,7270.82,FURNITURE,uests: fluffily regular deposits wake carefully. unusual platelet
551,Customer#000000551,KCFBZoGH2stDQy8wHk,15,25-209-544-4006,-334.89,MACHINERY,owly ironic excuses. furiously ironic requests boost quickly furiously regular inst
552,Customer#000000552,nPHyQaQICGUMAPaW5hITB,2,12-669-784-2191,1353.24,FURNITURE,the theodolites. quickly special requests need to cajole furiously blithely fi
553,Customer#000000553,Ty7FQxhrz7,4,14-454-146-3094,4804.57,BUILDING,lyly regular foxes nag quickly unusual frets. quickly ruthless dependencies against the pinto beans wake 
554,Customer#000000554,aFxQKyd9qhK23ED1o4uOdo0ftU,2,12-938-503-7317,8395.57,HOUSEHOLD,fily even requests. furiously
555,Customer#000000555,PJESH3U7LaTomDzxBxfURsd1sHAkO1PcS,15,25-548-367-9974,5486.52,BUILDING,lyly according to the courts. requests boost. blithely ironic foxes
556,Customer#000000556,"7ejFF6Gxta7aXQf4o59uA3QyzuN,qfV3v",1,11-934-412-5846,7944.22,MACHINERY,furiously final asymptotes are quickly pending d
557,Customer#000000557,eyUl6yn9Tw,15,25-390-153-6699,9559.04,BUILDING,nce the carefully unusual ideas doubt bold dependencies. furiously bold packages affix blithely. furiously
558,Customer#000000558,cpZ15XGaD9kIo,17,27-866-273-7672,1912.23,HOUSEHOLD,ronic deposits boost ideas. regular som
559,Customer#000000559,rXqolD5Pb0LbMruHD5he5o0vEauPrdFKrL4m806b,7,17-395-429-6655,5872.94,AUTOMOBILE,uriously silent platelets cajole furiously ironic accounts. fluffily regular excuses sleep.
560,Customer#000000560,"L6VlaM,4e, u72a",19,29-618-467-8489,1469.59,BUILDING,al foxes haggle. evenly ironic foxes against the slowly pend
561,Customer#000000561,2ZGbo8PM7AlLNFtZqPRgnNm0Hjg4,18,28-286-185-3047,2323.45,FURNITURE,"out the silent, regular deposits; slyly ironic theodolites are furiously. blithely express deposits w"
562,Customer#000000562,"0XuHp1sxLLEJ5tm3,rbMJhbyNIJr,HJ",15,25-271-465-6971,9234.50,BUILDING,ress requests haggle furiousl
